projectName, groupId, averageLine, variantComplex, distributionComplex, contextComplex, syntacticComplex, instanceNumber
,1066,0.9344262295081968,1.0,1.0,0.0,1.0,2
,1065,0.9672131147540983,0.9852281360342516,0.9751060324573735,0.25481959578555763,0.6309297535714574,7
,1064,0.9508196721311475,0.9881090915741203,0.9533522741071692,0.14205697021084857,0.6309297535714574,12
,1063,0.9617486338797814,1.0,0.0,0.0,0.0,2
,1062,0.9453551912568307,1.0,1.0,0.3954884891037233,0.0,4
,1061,0.9398907103825137,1.0,0.0,0.0,0.0,2
,1060,0.9453551912568307,1.0,1.0,0.0,0.0,2
,870,0.7978142076502732,1.0,0.0,0.0,0.29590327428938457,2
,871,0.9453551912568307,1.0,0.0,0.0,0.0,2
,630,0.9398907103825137,0.0,1.0,0.0,0.9713067383178076,2
,872,0.9617486338797814,1.0,0.0,0.0,0.0,3
,1059,0.9398907103825137,1.0,1.0,0.42810551009986264,0.0,12
,631,0.8743169398907104,0.0,1.0,0.0,0.726844631409708,2
,873,0.9016393442622951,1.0,0.0,0.0,0.0,3
,1058,0.9344262295081968,1.0000000000000002,0.9640787648082292,0.43066328669575205,0.0,18
,632,0.8688524590163934,0.0,1.0,0.0,0.0,2
,874,0.9617486338797814,1.0,0.0,0.0,0.0,3
,1057,0.9562841530054644,1.0,0.9182958340544896,0.3954884891037233,0.0,3
,633,0.9289617486338798,0.0,1.0,0.0,0.8173454221465102,2
,875,0.9617486338797814,1.0,0.0,0.0,0.0,5
,634,0.6284153005464481,1.0,1.0,0.0,0.6625897014816776,2
,876,0.9344262295081968,1.0,0.0,0.0,0.0,2
,1056,0.912568306010929,1.0,0.0,0.0,0.0,3
,635,0.9453551912568307,0.0,1.0,0.0,0.3175206571427802,2
,877,0.9672131147540983,0.0,1.0,0.0,0.41011848630651804,2
,636,0.9398907103825137,0.0,1.0,0.0,0.5462947022805017,2
,878,0.819672131147541,1.0,1.0,0.0,0.6975637594191427,2
,637,0.6775956284153005,0.0,1.0,0.0,0.7799245905108307,2
,879,0.9234972677595629,1.0,0.9602297178607611,0.31091750708257115,0.0,5
,638,0.9617486338797814,0.0,1.0,0.0,0.41011848630651804,2
,639,0.9234972677595629,1.0,1.0,0.4181656600790516,0.24684720518702508,6
,1077,0.7213114754098361,1.0,0.9182958340544896,0.3954884891037233,0.9755307720176265,3
