projName,groupId,vComplexity,dComplexity,crComplexity,sComplexity,insNumber,domain,cloneClass
,653,1.0,1.0,0.0,0.8194483718728034,2,,3
,895,1.0,1.0,0.0,0.0,2,,2
,412,0.0,1.0,0.0,0.0,2,,2
,654,0.0,1.0,0.0,0.6195356586779281,2,,3
,896,1.0,1.0,0.0,0.9602297178607611,4,,3
,413,0.9609640474436811,0.9739760316291208,0.1129712932075364,0.0,10,,3
,655,0.0,1.0,0.0,0.9463946303571862,2,,3
,897,0.0,1.0,0.0,0.5061471991414218,2,,2
,1079,1.0,1.0,0.0,0.0,2,,2
,414,1.0,1.0,0.0,0.0,2,,2
,656,0.0,1.0,0.0,0.0,2,,2
,898,0.0,1.0,0.0,0.9463946303571862,2,,3
,1078,1.0,1.0,0.0,0.0,2,,2
,415,0.0,1.0,0.0,0.920619835714305,2,,3
,657,0.0,1.0,0.0,0.5762173955216959,2,,2
,899,1.0,1.0,0.0,0.5118595071429148,2,,2
,416,0.0,1.0,0.0,0.0,2,,2
,658,0.0,1.0,0.0,0.0,2,,2
,417,0.0,1.0,0.0,0.0,2,,2
,659,0.0,1.0,0.0,0.0,2,,2
,418,0.0,1.0,0.0,0.8342022886441013,2,,3
,419,0.0,1.0,0.0,0.0,2,,2
,1091,1.0,0.0,0.0,0.0,2,,2
,1090,1.0,0.0,0.0,0.0,2,,2
,1099,1.0,0.0,0.0,0.0,3,,3
,1098,1.0,0.0,0.0,0.0,3,,3
,1097,1.0,0.0,0.0,0.0,5,,3
,1096,0.9999999999999999,0.0,0.0,0.905712598013837,6,,3
,1095,1.0,0.0,0.0,0.0,2,,2
,1094,1.0000000000000002,0.0,0.0,0.9372305632161295,11,,3
,1093,1.0,0.0,0.0,0.0,2,,2
,1092,1.0,1.0,0.0,0.0,2,,2
,660,0.0,1.0,0.0,0.977680872902037,2,,3
,661,0.0,1.0,0.0,0.579380164285695,2,,2
,420,0.0,1.0,0.0,0.920619835714305,2,,3
,662,1.0,1.0,0.4181656600790516,0.7506372650958028,6,,3
,421,0.0,1.0,0.0,0.8247288258953046,2,,3
,663,0.0,1.0,0.0,0.7865834126456138,2,,3
,422,0.0,1.0,0.0,0.9463946303571862,2,,3
,664,0.0,1.0,0.0,0.0,2,,2
,423,1.0,1.0,0.0,0.0,2,,2
,665,0.0,1.0,0.0,0.8528196251894569,2,,3
,424,0.0,1.0,0.0,0.8173454221465102,2,,3
,666,1.0,1.0,0.3954884891037233,0.7499999999999999,4,,3
,425,0.0,1.0,0.0,0.7896900821428474,2,,3
,667,0.0,1.0,0.0,0.7884345764089417,2,,3
,1089,1.0,1.0,0.0,0.0,2,,2
,426,1.0,1.0,0.0,0.0,2,,2
,668,0.0,1.0,0.0,0.9680522212633251,2,,3
,427,0.9463946303571862,1.0,0.0,0.0,4,,3
,669,0.0,1.0,0.0,0.8720094340562979,2,,3
,428,1.0,1.0,0.0,0.0,2,,2
,429,0.0,1.0,0.0,0.0,2,,2
,670,0.0,1.0,0.0,0.8977818049321735,2,,3
,671,0.0,1.0,0.0,0.887092015535129,2,,3
,430,0.0,1.0,0.0,0.0,2,,2
,672,0.0,1.0,0.0,0.6126016192893442,2,,3
,431,0.0,1.0,0.0,0.77250688571426,2,,3
,673,0.0,1.0,0.0,0.842088781560647,2,,3
,432,0.0,1.0,0.0,0.4684574992810824,2,,2
,674,0.0,1.0,0.0,0.8979176514941836,2,,3
,433,1.0,1.0,0.0,0.8856194615204434,2,,3
,675,0.0,1.0,0.0,0.9770455804590024,2,,3
,434,0.0,1.0,0.0,0.0,2,,2
,676,0.0,1.0,0.0,0.6913698302025114,2,,3
,435,0.0,1.0,0.0,0.9656336071428249,2,,3
,677,0.0,1.0,0.0,0.8720094340562978,2,,3
,436,1.0,0.0,0.0,0.6309297535714574,2,,3
,678,1.0,1.0,0.0,0.0,2,,2
,437,0.0,0.0,0.0,0.0,2,,1
,679,0.0,1.0,0.0,0.0,2,,2
,438,1.0,0.0,0.0,0.864973520717927,2,,3
,439,1.0,1.0,0.0,0.5364959133847246,2,,2
,680,1.0,1.0,0.0,0.0,2,,2
,681,1.0,1.0,0.0,0.7960200622507978,2,,3
,440,1.0,1.0,0.0,0.0,2,,2
,682,0.0,1.0,0.0,0.0,2,,2
,441,1.0,1.0,0.0,0.0,2,,2
,683,1.0,1.0,0.0,0.905712598013837,2,,3
,200,0.0,1.0,0.0,0.6383111854769604,2,,3
,442,1.0,1.0,0.0,0.826074224242703,2,,3
,684,0.0,1.0,0.0,0.8024052436705212,2,,3
,201,1.0,1.0,0.0,0.8851529531815772,3,,3
